"name","group","element","units","context","S333369","S333370","S333371","S333372","S333373","S333374","S333375","S333376","S333377","S333378","S333379","S333380","S333381","S333382","S333383","S333384","S333385","S333386","S333387","S333388","S333389","S333390","S333391","S333392","S333393","S333394","S333395","S333396","S333397","S333398","S333399","S333400","S333401","S333402","S333403","S333404","S333405"
Poaceae,UPHE,pollen,NISP,,33,18,42,20,27,25,19,11,11,11,9,10,7,3,8,9,11,7,9,6,6,12,10,6,8,10,7,12,25,33,19,6,20,33,45,52,39
Poaceae (Cerealia-type),UPHE,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polypodiaceae,VACR,spore,NISP,,95,67,158,132,115,65,244,143,172,295,210,105,92,121,103,118,89,76,169,81,110,31,87,91,80,151,51,89,88,54,75,103,134,213,185,93,10
Populus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Potamogeton,AQVP,pollen,NISP,,16,14,12,4,16,4,22,4,3,1,1,14,10,4,2,15,,,,1,11,14,25,3,,,,2,4,6,1,,,4,12,8,88
Potentilla-type,UPHE,pollen,NISP,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,10,,3,
Quercus,TRSH,pollen,NISP,,,,,1,,5,,2,,,,,1,2,1,1,,,,2,1,,3,1,1,,,,,1,,,,,,,
Ranunculus acris,UPHE,pollen,NISP,,2,2,3,,1,1,8,1,3,,2,,7,,2,1,2,,,2,1,2,,,1,,1,,,3,3,2,5,,7,6,4
Rosaceae,UPHE,pollen,NISP,,4,7,11,2,6,12,11,6,7,10,7,9,6,5,,6,5,1,5,6,10,8,10,7,3,10,2,2,3,7,8,4,3,10,17,14,6
Rubus,TRSH,pollen,NISP,,1,,,,,,1,,,,1,,1,,,1,,,,,,,,,,,,,,1,,,,,,,
Rumex,UPHE,pollen,NISP,,1,1,1,1,4,,,1,2,1,5,,1,,1,1,,,1,2,,1,1,,,,3,1,,2,2,,,5,11,7,5
Salix,TRSH,pollen,NISP,,5,1,1,,2,,8,5,4,1,,15,2,,2,3,,2,5,1,6,3,1,3,3,6,5,5,9,12,9,10,16,,9,,20
Sorbus,TRSH,pollen,NISP,,,,,,,,1,1,,,,,,,,2,3,,,,,,,,,,1,,,,1,,,,,,
Sphagnum,AQBR,spore,NISP,,9,12,8,15,8,5,5,3,1,,2,4,3,3,,1,,3,1,,,,5,3,1,,1,2,2,,,2,,2,,1,3
Succisa,UPHE,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Thalictrum,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,4,,2,
Ulmus,TRSH,pollen,NISP,,,3,,,1,4,5,3,3,4,2,12,13,10,11,11,10,6,,3,5,4,3,3,4,,,4,1,,,2,1,,,,1
Urtica,UPHE,pollen,NISP,,,2,,,,,,,,1,,,,,,,,,,1,,,,,,,,3,,,,,,,1,1,
