"name","group","element","units","context","S414291","S414292","S414293","S414294","S414295","S414296","S414297","S414298","S414299","S414300","S414301","S414302","S414303","S414304","S414305","S414306","S414307","S414308","S414309","S414310","S414311","S414312","S414313","S414314","S414315","S414316","S414317","S414318","S414319","S414320","S414321","S414322","S414323","S414324","S414325","S414326","S414327","S414328","S414329","S414330","S414331","S414332","S414333","S414334","S414335","S414336","S414337","S414338","S414339","S414340","S414341","S414342","S414343","S414344","S414345","S414346","S414347"
Anthoceros,UPBR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apiaceae,UPHE,pollen,NISP,,3,,,,1,1,1,2,2,,3,1,,2,4,3,1,,1,3,1,,,1,1,1,1,1,,1,1,3,3,1,1,1,2,,,,1,,,3,,1,,,1,1,2,1,2,3,,3,
Artemisia,UPHE,pollen,NISP,,23,4,2,10,13,11,10,15,13,13,17,15,15,8,12,7,8,6,6,8,15,18,18,13,10,6,10,7,8,8,11,12,17,18,13,14,21,12,10,9,9,5,12,13,9,6,4,,20,6,29,10,12,14,16,22,7
Asteraceae,UPHE,pollen,NISP,,8,5,5,5,,1,1,1,,2,1,3,,4,,1,1,,1,2,1,2,2,1,1,2,2,1,1,,1,2,1,1,,,1,1,1,,4,1,2,3,1,1,1,,1,,,,1,1,,4,7
Betula sect. Betula,TRSH,pollen,NISP,,267,159,41,200,239,225,324,231,220,272,293,350,300,230,300,130,300,272,230,300,170,200,262,300,263,200,200,205,170,200,220,220,230,300,300,230,300,440,370,100,300,400,330,270,320,440,500,300,200,400,330,300,400,282,400,300,220
Bistorta officinalis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Brassicaceae,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Campanulaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Cannabis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,
Carpinus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,3,,,1,,,,1,,,,1,1,2,,,,,,,,,,,,,,,,,,,1,,,,,,,
Caryophyllaceae,UPHE,pollen,NISP,,1,,,,2,,,1,,1,,,,,1,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,1,,1,,,,1,,,1,,,,,1
Centaurea cyanus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea undiff.,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Cichorioideae,UPHE,pollen,NISP,,1,,,,1,,1,2,1,1,1,,1,,,,1,1,,,,1,1,,1,,,,,1,1,,,,2,,2,1,,,1,1,,,3,1,,,3,1,2,1,,3,1,,1
Convolvulus,UPHE,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Corylus avellana,TRSH,pollen,NISP,,4,3,1,21,25,3,8,14,17,21,7,7,5,22,43,21,74,63,43,38,25,61,40,53,35,60,25,34,45,51,39,14,14,8,6,4,6,3,1,2,34,20,12,26,32,13,8,,8,10,3,3,4,23,7,11,3
Cyperaceae,UPHE,pollen,NISP,,4,1,4,7,,,,,1,2,1,2,1,2,,2,,,7,9,2,1,5,2,,2,1,,,4,5,1,3,8,3,14,3,3,1,2,1,2,2,3,1,1,,,6,,,7,2,6,4,13,87
Drosera,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,
Ephedra,TRSH,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
Equisetum,VACR,spore,NISP,,5,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1
Ericales,TRSH,pollen,NISP,,5,9,2,5,,,,,,,,,,,5,1,24,14,2,5,2,5,6,8,8,,1,2,2,,1,,,,,,,,,,5,1,1,6,2,1,1,,,,,,1,3,,,1
Euphorbia,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Fabaceae,UPHE,pollen,NISP,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Fagus,TRSH,pollen,NISP,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus excelsior,TRSH,pollen,NISP,,,,,,3,4,,2,1,,,,,1,2,,3,2,,,,1,,,,1,1,,3,3,,,,,2,,1,,,,,,1,,1,,,,4,,3,1,1,2,2,,
Lamiaceae,UPHE,pollen,NISP,,1,,,,,2,,,,,,1,1,,,,,,,,1,,,,,,,1,,,,,1,,,2,,,,,,,,,1,1,,,3,,,1,,2,1,1,2
Lycopodium annotinum,VACR,spore,NISP,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Lycopodium clavatum,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,
Lycopodium spike,LABO,concentration,grains/tablet,,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584
Lycopodium spike,LABO,counted,NISP,,122,76,20,8,4,4,8,6,7,10,6,10,16,19,9,7,5,3,5,12,23,12,6,9,6,3,13,13,13,4,9,17,45,16,21,25,32,13,20,15,17,10,17,59,18,21,17,10,19,20,20,11,16,47,11,40,18
Lycopodium tablets,LABO,quantity added,number,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Menyanthes,AQVP,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,
Myriophyllum,AQVP,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2
Nuphar,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Onagraceae,UPHE,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picea,TRSH,pollen,NISP,,77,32,1,2,1,1,2,,2,2,1,2,1,3,2,1,4,12,11,4,17,30,29,13,12,4,10,6,2,4,2,5,,1,3,,3,1,,1,4,2,1,35,3,2,1,2,2,2,2,1,1,5,,2,2
Pinus sylvestris,TRSH,pollen,NISP,,88,57,22,103,8,7,14,8,36,24,17,31,30,26,10,43,15,18,24,20,48,83,67,41,41,29,44,46,14,22,17,27,44,74,78,143,71,90,125,38,64,47,75,56,49,75,51,172,396,147,160,200,152,110,89,96,195
Plantago major/P. media,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,11,7,5,9,7,4,3,1,4,4,5,5,12,7,2,1,5,2,4,3,8,13,20,17,20,6,1,1,3,3,3,1,4,4,,3,5,2,3,3,4,3,6,3,4,2,1,,1,3,1,9,7,7,12,18,17
Poaceae (Cerealia),UPHE,pollen,NISP,,7,5,1,4,1,,,1,1,,,,,,,,,1,1,,15,17,15,17,13,2,,2,1,,,,1,1,,2,,,,,,,,1,,,2,,3,,,1,1,1,,,
Polemonium caeruleum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polypodiaceae,VACR,spore,NISP,,3,1,,8,1,1,1,1,4,1,1,1,4,2,1,2,1,1,4,5,1,5,1,3,4,1,3,3,1,2,1,6,6,9,8,15,10,9,4,3,3,1,3,5,1,5,1,,4,2,2,4,4,12,3,3,6
Pteridium aquilinum,VACR,spore,NISP,,,,,,1,1,,,1,1,,2,,,,1,,,,1,,,,1,,1,,,2,,,,1,1,,1,,1,,,,,,,2,1,,,,,2,,,,1,1,
Quercus,TRSH,pollen,NISP,,34,23,9,75,147,130,101,142,165,108,86,88,126,125,117,170,146,125,127,112,86,70,58,74,91,139,132,140,158,148,122,126,77,44,47,50,35,11,7,16,74,66,69,96,90,46,20,42,32,20,8,8,23,61,32,32,10
Ranunculaceae,UPHE,pollen,NISP,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Rhamnus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,2,,
Riccia,AQBR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae,UPHE,pollen,NISP,,,1,,1,2,1,4,1,4,,2,2,2,3,4,3,2,2,,3,4,6,3,7,2,6,3,1,5,1,,1,7,1,3,3,2,1,1,3,7,2,,2,2,,1,,3,2,8,2,,9,12,17,2
Rubiaceae,TRSH,pollen,NISP,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Rumex,UPHE,pollen,NISP,,1,,,1,,,,,,,,,,1,,,,,1,,3,4,6,4,8,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,
Salix,TRSH,pollen,NISP,,1,,,1,1,1,,2,1,,1,,,,,,,,,,,,1,2,,1,,1,,,1,,,,,,,1,,,,,,,2,3,1,,1,1,1,4,2,1,3,2,4
Sample quantity,LABO,volume,cm^3,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Sorbus,TRSH,pollen,NISP,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,1,2,1,2,2,4,3,,1
Sparganium,AQVP,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,6
Spermatophyta,SEED,pollen,NISP,redeposited,,,,,,,,,3,3,4,3,7,2,5,5,,1,1,2,2,,1,3,,,,1,1,,2,1,,1,2,,3,,,,2,1,,2,,,,,,,,,,,,,
Sphagnum,AQBR,spore,NISP,,13,5,,4,,,,,,,,,,,,,,3,1,,,8,,1,1,1,2,1,1,,,,,3,1,1,,,,,1,,,,,,,,,,,,,,,,
Thalictrum,UPHE,pollen,NISP,,,,,1,3,,1,1,1,,2,2,1,,,2,,,1,,1,,,,1,1,1,2,1,1,,1,5,2,4,1,2,1,,,2,,1,2,1,2,,,8,1,6,4,,1,8,7,2
Tilia,TRSH,pollen,NISP,,,,,,,,,,3,3,4,3,7,2,5,5,,1,1,2,2,,1,3,,,,1,1,,2,1,,1,2,,3,,,,2,1,,2,,,,,,,,,,,,,
Tilia cordata,TRSH,pollen,NISP,,2,,,72,60,105,94,73,57,73,89,73,120,75,91,89,37,40,35,87,56,31,33,33,28,58,61,61,58,60,55,70,100,59,60,59,93,36,14,5,63,26,47,55,27,11,16,16,19,6,4,6,20,51,11,24,5
Trifolium-type,UPHE,pollen,NISP,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,2,,1
Typha latifolia,AQVP,pollen,NISP,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,2
Ulmus,TRSH,pollen,NISP,,6,1,1,30,37,75,40,35,52,44,33,28,34,40,51,60,43,21,46,46,35,20,19,17,26,55,28,62,64,66,49,49,35,36,26,38,38,8,16,13,45,17,32,42,30,27,5,19,22,3,12,9,12,33,8,12,8
Urtica,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,
Valeriana,UPHE,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viburnum,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,2,1,,,,1,3,1,1,,,,,,1,2,2,2,2,,
