"name","group","element","units","context","S474041","S474045","S474048","S474051","S474055","S474063","S474067","S474074","S474082","S474093","S474104","S474114","S474125","S474134","S474146","S474156","S474043","S474044","S474047","S474050","S474053","S474057","S474064","S474069","S474075","S474084","S474094","S474103","S474113","S474123","S474133","S474143","S474153","S474042","S474046","S474049","S474052","S474056","S474066","S474070","S474077","S474087","S474097","S474105","S474117","S474124","S474135","S474144","S474155","S474054","S474068","S474073","S474083","S474095","S474106","S474118","S474129","S474137","S474147","S474058","S474076","S474086","S474096","S474107","S474122","S474132","S474142","S474150","S474062","S474071","S474081","S474088","S474099","S474109","S474119","S474127","S474140","S474152","S474059","S474072","S474085","S474098","S474108","S474116","S474128","S474139","S474151","S474060","S474080","S474089","S474092","S474102","S474112","S474121","S474131","S474141","S474149","S474061","S474078","S474091","S474101","S474111","S474120","S474130","S474138","S474148","S474065","S474079","S474090","S474100","S474110","S474115","S474126","S474136","S474145","S474154"
Amaranthaceae,UPHE,pollen,NISP,,10,14,17,3,9,4,2,3,,,3,,1,,3,3,14,12,8,6,,,1,9,1,6,,5,7,,,,6,8,10,14,4,9,2,1,9,8,,3,,,,1,2,16,7,8,,5,5,2,,,1,16,1,5,,3,2,5,1,4,24,3,,,2,,,,,3,16,4,,9,,1,,2,,20,6,4,,,,,,1,5,19,8,,,2,1,2,2,2,23,9,3,,,3,1,1,,3
Apiaceae,UPHE,pollen,NISP,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
Apium,UPHE,pollen,NISP,,,,1,,,,,,3,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,1,3,,,,,,,,,1,2,,,,,,,,,6,,,,,,,,,,9,,,,,,,,,3,,,,,,,,,3,,,,,,1,
Artemisia,UPHE,pollen,NISP,,14,11,3,14,9,15,8,5,,,1,9,1,2,12,6,15,7,8,4,21,9,,3,11,8,1,,,1,6,14,10,7,,,8,16,,2,5,5,,2,,1,4,4,5,8,3,3,,,3,1,1,3,10,8,13,6,,1,,1,2,2,,4,,,,1,1,2,3,4,8,2,,1,1,1,1,3,8,21,3,2,,,,,2,5,6,8,16,,,4,1,1,4,7,11,6,4,1,2,7,1,7,12,1
Asplenium-type,VACR,spore,NISP,,,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,7,,,,,,,,,,,,,,,,
Asteroideae,UPHE,pollen,NISP,,8,,1,3,3,1,,,,,2,,1,,,,15,7,11,,,4,2,,,4,,5,7,,,,,10,,,,1,1,7,1,,,2,2,,,,,14,,,,,3,,,1,,1,,2,2,1,,1,,,1,,6,,2,8,,1,,,11,,,,15,,,,,19,1,,2,,,,,1,1,21,2,,3,4,,,,,,,,,14,3,,,,
Berberis,TRSH,pollen,NISP,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula,TRSH,pollen,NISP,,,,,1,,,1,,,3,,1,10,2,,,,,,,,,,,,,1,,9,3,3,,2,,,,,,,,,1,1,4,12,7,4,1,3,1,,,,,3,4,5,3,,,,,2,2,7,4,,1,,,1,,4,3,6,9,2,,,,,1,1,13,15,,,,,,1,,2,8,6,1,1,,,1,,4,16,8,,1,,,,,5,1,8,,1,2
Botrychium,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
Botryococcus,ALGA,spore,NISP,,,,1,,,3,,21,,1,12,3,15,7,8,2,,,,,7,,7,,2,20,,,1,38,24,2,6,,,,,3,7,,15,,2,11,4,28,19,10,3,,,12,,6,1,21,14,23,7,,13,15,,,11,9,11,7,,2,,,,,6,31,7,8,,1,,,2,17,17,11,,,,13,,,,39,12,12,2,,,12,2,,20,26,11,4,,2,11,,,1,21,8,7,12
Brachysporium obovatum/B. bloxami/Bactrodesmium betulicola (type 359, HdV),FUNG,spore,NISP,,,12,28,22,12,2,,,,1,4,,2,,,,13,23,18,11,9,,4,,,,,,,,1,,,7,25,12,13,2,,,,,12,2,,13,,,,11,,,,21,,,2,1,,1,,,2,4,,2,,,23,,,,11,,,12,,,2,,,17,,,,,,2,,1,2,5,,,,,,6,,,1,,,,,,6,,1,10,,,,1,,
Brassicaceae,UPHE,pollen,NISP,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,1,,,,,,,,,,12,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,4,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
Bryophyta,UPBR,spore,NISP,,23,,,12,14,,,,,,,,,9,1,,,1,,2,12,2,12,,,,,,,,11,,,1,,,11,25,,,,,1,,,12,8,,,2,,,,1,,,2,,2,,,,2,,,8,,1,,,,,5,,,,,,,,,23,,,11,,,2,,,,,,,,,,,,,6,,,,,,3,,,,,,13,,1,
Bupleurum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buxus,TRSH,pollen,NISP,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,2,,,,,,,,2,1,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,2,,,,
Campanula,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryophyllaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,
Centaurea,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratophyllum,AQVP,fragment,NISP,,,,,,,,,,,,,,,2,2,,,,,,,,,,1,,,,,,,,2,,,,,,,3,1,,,,,,,,,,,,,,1,,,,3,,1,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,2,
Chaetomium,FUNG,spore,NISP,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,2,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,2,,
Charcoal,CHAR,>10 µm,number/g,,859384.6,241500,297933.3,63266.67,198375,147200,144500,448800,245733.3,59142.86,240692.3,214500,0,13000,176428.6,104500,268375,528571.4,225285.7,137666.7,34875,73600,87315.79,368666.7,384000,154000,12888.89,118500,111000,0,76000,264416.7,76956.52,529375,247928.6,158666.7,22000,84055.56,166500,318266.7,354285.7,225687.5,132250,40533.33,39600,0,12000,200250,134785.7,457466.7,82133.33,149800,183466.7,21833.33,69066.67,135000,0,45647.06,304352.9,279000,257500,175875,9133.333,56625,224000,49428.57,374583.3,126000,545769.2,207600,79357.14,156375,52705.88,54800,0,6684.21,56500,125000,401714.3,392200,152533.3,72153.85,135058.8,50666.67,17789.47,56571.43,142173.9,250500,211285.7,229687.5,204230.8,79000,132000,45500,32250,241312.5,240761.9,271928.6,272333.3,143500,34416.67,35636.36,0,0,121625,123315.8,369600,165000,140307.7,28500,83200,42533.33,0,13875,294000,144440
Cichorioideae,UPHE,pollen,NISP,,6,10,1,4,2,6,1,,,,1,,,,,,13,15,,,9,,7,,,,,3,,,,,1,3,,,9,,8,,,,,2,,,1,,,,8,,,,6,3,,,,,,,,4,1,,1,,,,,,,4,,1,,,11,,,,4,,,,1,7,,,,,,,,,,14,,,,,1,1,,,,,,,6,,,,,
Cistus,TRSH,pollen,NISP,,3,,,1,1,,,,,,1,,1,,1,,4,,,,,,,,2,,,,,,1,,1,2,,1,,,1,,,1,,3,,,,,,,1,,,,3,,,1,2,,,,1,1,1,,1,1,,,2,,,,,,,1,6,1,3,,1,,,1,1,,,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,1,
Closterium idiosporum-type,ALGA,palynomorph,NISP,,,,,,,2,,7,3,11,2,5,6,9,5,,,,,,,,,,4,12,1,12,4,28,3,6,4,,,,,1,,2,11,4,,11,3,2,4,3,1,,,2,3,1,12,17,1,2,1,,3,12,,1,13,2,1,2,,1,13,,,2,11,8,,1,,11,,1,11,19,9,2,9,,3,5,3,1,1,3,9,2,7,,3,8,,6,8,9,1,10,,10,4,3,1,5,4,,2,1
Coniferae undiff.,TRSH,pollen,NISP,,85,90,34,89,64,37,47,68,18,19,16,31,51,85,108,70,81,63,49,69,40,66,28,58,80,52,13,10,34,42,79,121,101,76,62,48,59,78,29,75,54,47,4,28,30,41,80,122,75,84,28,46,41,16,17,30,67,78,96,110,81,87,6,20,25,74,100,129,91,87,28,37,8,16,25,71,70,116,83,16,21,8,18,36,71,92,109,121,26,30,34,22,35,43,43,96,125,101,44,24,5,38,46,77,102,121,88,39,17,5,28,20,49,73,85,94
Copepoda (type 179, HdV),COPE,palynomorph,NISP,,,,12,13,13,6,2,,,6,3,,7,,,,1,,4,12,16,7,8,2,,,2,,,,4,,,1,11,7,14,11,11,,,,1,4,,9,,,,1,,,,1,4,,8,2,,1,,,12,,,6,,,1,,,,2,,,,3,,4,,,13,,,,10,,2,,,,12,,,3,8,,3,,,4,,,8,6,,3,,,1,,,4,5,,
Corylus,TRSH,pollen,NISP,,,,,,,1,,,1,7,9,16,19,1,1,,,,,1,,,,,,,,5,15,11,,,,,,,,,,,1,,2,2,11,9,1,,,,,,,,16,18,2,,,,,,,3,15,2,,,,1,1,3,4,13,16,23,2,,,,,1,7,17,4,,1,,,2,,16,11,2,,1,,1,,,1,2,3,3,,,,,1,3,9,17,8,,,
Crocus,UPHE,pollen,NISP,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperaceae,UPHE,pollen,NISP,,6,14,16,21,42,18,2,6,5,2,6,18,14,9,,1,3,11,8,13,18,17,19,2,8,4,8,7,2,7,11,3,,2,13,15,23,21,13,7,3,8,26,6,5,18,26,4,,1,4,5,8,13,5,14,8,12,2,12,7,3,23,6,3,38,5,2,6,13,10,3,19,6,3,3,6,,7,5,3,24,3,5,7,6,,2,4,9,14,10,13,7,9,5,,9,10,5,52,4,6,3,7,,16,8,10,71,7,2,20,9,,
Dictyosporiaceae,FUNG,spore,NISP,,,,11,3,13,,,,,,,2,,,,,12,9,,6,,,,,,,,,1,1,3,,,,,5,2,,,,,3,,,7,1,,,,,,,,,,2,,6,,,,,,,11,,,,,,,,,,,,,,3,,8,,,,1,,,12,,,,1,,,2,,,1,,,,,,2,,,7,,,1,,,1,,,
Dipsacoideae,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
Ephedra fragilis,TRSH,pollen,NISP,,,7,,1,6,,,,,1,,,,,1,2,3,5,2,,2,1,1,,1,,,1,,,,,5,4,,1,1,,,4,,4,,,,,,1,3,,3,2,1,,,,,,3,,,,,,,,2,,2,2,1,,2,,,,,2,11,3,,1,,,,2,5,1,,5,,1,,,,2,1,9,,,,,,,,2,1,,2,,,,,,,2
Epilobium,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Equisetum,VACR,spore,NISP,,,47,18,37,95,12,9,8,2,3,2,,,,,,,39,23,34,59,63,59,8,2,2,3,1,,,,,,32,13,33,44,128,17,8,7,1,4,1,,,,,,41,11,6,7,,,,,,,57,7,4,,,,7,,,28,9,1,7,4,2,,,,,31,8,2,,,,,,,41,12,13,6,,,,4,,1,33,16,4,6,,,2,,,22,8,11,2,12,,,,,
Ericaceae,TRSH,pollen,NISP,,,,1,,,1,7,6,11,5,13,6,1,1,1,1,,,12,,,8,4,2,12,8,5,8,22,6,3,1,,,9,1,,1,3,3,1,7,1,21,15,,1,,1,,10,6,8,10,11,18,,,1,,11,1,3,6,24,,,,7,3,10,13,,16,16,,1,1,1,3,12,5,16,6,,1,3,,9,8,1,,15,,2,,1,,5,6,,19,,2,1,2,,2,3,,31,11,,,1,
Euastrum ansatum (type 984, HdV),ALGA,filament/cell,NISP,,,13,12,12,,,,,,,,,,,,,9,8,12,7,1,,,,,,,,,,,,,8,12,6,1,,,,,,,,,,,,,1,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,5,,,,,,,,,7,,,,,,,,,,3,,,,,,,,,6,,,,,,,,,
Euastrum bidentatum (type 985, HdV),ALGA,filament/cell,NISP,,,22,7,6,,,,,,,,,,,,,17,13,4,3,6,,,,,,,,,,,,,2,8,7,1,,,,,,,,,,,,,11,,,,,,,,,,7,,,,,,,,,4,,,,,,,,,,2,,,,,,,,,13,,,,,,,,,,3,,,,,,,,,15,,,,,,,,,
Euphorbia,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus,TRSH,pollen,NISP,,,,,,,,,,,,4,2,16,,,,,,,,,,,,,,1,7,1,10,,,,,,,,,,,,,3,3,19,2,3,,,,,,,,17,14,8,6,,,,,,11,6,,,,,,,,2,7,13,14,3,,,,,2,12,22,4,,,,,,,,9,11,6,,,,,,1,4,21,3,,,,,,2,13,2,16,10,,
Fungi undiff.,FUNG,spore,NISP,,7,151,171,59,241,100,22,13,7,6,10,8,42,32,2,,139,138,156,102,154,112,36,6,9,13,12,,23,25,74,,,112,136,79,105,109,35,10,3,13,53,7,39,82,44,2,,174,6,20,2,29,12,34,55,65,6,164,11,8,33,7,45,82,,,293,8,14,18,60,8,24,39,19,,162,8,19,29,5,25,31,23,,145,3,1,,23,19,16,23,2,1,127,1,,83,7,6,32,,3,208,9,,89,6,26,31,38,3,2
Gelasinospora,FUNG,spore,NISP,,,,1,,2,1,,,,,,,,1,,,2,,,,,1,1,,,,,,,,1,,,,1,1,1,,,,,,4,,,1,1,,,1,,1,,,,1,1,,,,,,1,,,,,,1,,,,7,,1,,,,,,,3,,1,,,,1,,,,4,,,,,,,,,4,,,,,,,,,2,,,1,1,,
Genista-type,TRSH,pollen,NISP,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloeotrichia,ALGA,palynomorph,NISP,,,,,,,1,5,,,1,,,,,,,,1,,1,1,,1,1,,,1,,,,1,,,,,,1,5,1,,,,,,1,,1,,,,,,,1,,1,1,1,,3,1,,1,,,,4,,,2,,,,,,,3,,2,1,,1,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,1,2,,,1,,,
Glomus,FUNG,spore,NISP,,4,66,83,19,68,54,3,4,7,,7,,23,1,2,,57,49,42,49,48,41,12,6,9,1,,,,,12,,,24,54,10,62,54,11,10,,,19,4,,14,16,2,,18,4,12,,11,12,,10,9,6,83,4,,2,7,,24,,,89,8,5,,21,8,,,6,,41,4,2,5,5,8,,9,,26,3,,,4,,,3,2,1,30,1,,43,,5,1,,3,87,1,,48,6,,,16,3,2
Helianthemum,UPHE,pollen,NISP,,1,,,,,,,,,,3,,,,1,,4,,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,5,,,,,,,,,2,6,,,,1
Hydrocotyle,AQVP,pollen,NISP,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,,,,2,,3,,,,,,,,,4,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,1
Invertebrata (type 219, HdV),ANIM,mandible,NISP,,,,,,,4,,,9,11,1,2,1,,,,,,,,,,,,1,8,4,,,,,,,,1,2,4,,,12,2,3,1,19,8,,,,,,,8,3,4,15,13,,,,,4,17,8,3,6,,,,1,,10,,7,1,16,,,,,,,2,6,21,,,,1,8,12,2,4,14,8,,,,,5,3,7,2,18,,,,1,3,24,4,1,11,1,,,
Isoëtes,AQVP,spore,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Juglans,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus,TRSH,pollen,NISP,,17,5,7,13,4,7,9,10,9,1,,3,1,2,7,4,11,9,10,7,6,9,4,4,14,14,1,,4,,3,11,8,8,9,4,12,6,5,7,4,14,1,1,3,,2,2,7,8,4,4,8,1,,7,1,2,10,12,8,11,,1,6,2,10,8,13,3,,11,1,,3,2,3,12,7,3,5,,1,1,1,4,10,7,4,7,,1,3,,4,9,7,10,9,,5,3,1,1,5,8,10,3,13,,,3,1,4,6,9
Lamiaceae (hexacolpate),UPHE,pollen,NISP,,1,9,6,,5,1,8,,,,1,,1,1,1,,2,8,7,,,,2,,,,,,,,,,,,12,2,,,3,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,11,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,
Lamiaceae (tricolpate),UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Liliaceae,UPHE,pollen,NISP,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
