"name","group","element","units","context","S342169","S342170","S342171","S342172","S342173","S342174","S342175","S342176","S342177","S342178","S342179","S342180","S342181","S342182","S342183","S342184","S342185","S342186","S342187","S342188","S342189","S342190","S342191","S342192","S342193","S342194","S342195","S342196","S342197","S342198","S342199","S342200","S342201","S342202","S342203","S342204","S342205","S342206","S342207","S342208","S342209","S342210","S342211","S342212","S342213","S342214","S342215","S342216","S342217","S342218","S342219","S342220","S342221","S342222","S342223","S342224","S342225","S342226","S342227","S342228","S342229","S342230","S342231","S342232","S342233","S342234","S342235","S342236","S342237","S342238","S342239","S342240","S342241","S342242","S342243","S342244","S342245","S342246","S342247","S342248","S342249","S342250","S342251","S342252","S342253","S342254","S342255","S342256","S342257","S342258","S342259","S342260","S342261","S342262","S342263","S342264","S342265","S342266","S342267","S342268","S342269","S342270","S342271","S342272","S342273"
Crataegus-type,TRSH,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuscuta,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperaceae,UPHE,pollen,NISP,,2,7,13,29,37,38,60,56,52,35,36,33,40,28,16,24,20,34,40,35,36,37,53,24,7,14,23,18,11,6,10,8,12,15,16,19,17,22,21,9,8,13,18,7,10,13,6,4,15,9,4,10,7,5,5,13,14,7,12,7,6,8,9,3,1,11,2,6,7,9,5,2,8,25,19,23,33,16,17,3,24,6,10,3,4,13,7,13,13,20,37,48,60,42,65,67,77,85,119,98,103,75,44,42,41
Cyperus-type,UPHE,pollen,NISP,,,1,1,,,,,2,,,2,1,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Cystopteris fragilis,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Daphne,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Daucus carota,UPHE,pollen,NISP,,,1,,,1,1,1,,,1,,1,1,1,,,,,,,,1,1,,,,,,,,,,1,,,,1,,,1,,,1,1,,,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
Diporotheca,FUNG,spore,NISP,,,,1,,,1,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas octopetala,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,,1,,1,,2,,,,1,,1,,1,1,,,,,,,1
Dryopteris dilatata-type,VACR,spore,NISP,,,1,1,1,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,1,,,4,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris filix-mas-type,VACR,spore,NISP,,,2,,,,,,,1,1,1,,,,,1,,,2,1,1,,,,,1,,1,,,1,2,,1,,1,1,,,,,,1,,,,,1,1,1,,,1,,,1,1,1,2,2,1,,1,,,,,1,,2,3,3,10,,,,,,,,,,8,2,1,4,1,,,,,,,,,,,,,,,,,,
Echium,UPHE,pollen,NISP,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Empetrum-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,
Ephedra distachya-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,1,,,,,,,,,,,,,,,,1,,,2,1,1,1,2,,,
Ephedra fragilis-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,2,2,1,,,,1,1,1,,,2,1,1
Epilobium,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Equisetum,VACR,spore,NISP,,,,2,4,3,2,5,4,1,2,,,2,3,2,1,2,1,2,3,3,6,2,1,,1,,4,,,,1,3,1,,,,,,,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,
Ericaceae,TRSH,pollen,NISP,,,,1,,,,,,,,1,,,,,,1,1,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eryngium,UPHE,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euonymus,TRSH,pollen,NISP,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eupatorium,UPHE,pollen,NISP,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,
Fabaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Fagus,TRSH,pollen,NISP,,33,42,37,70,64,48,64,39,42,27,17,37,47,45,56,79,111,75,55,69,59,52,83,125,117,124,113,177,220,166,134,82,53,43,57,71,61,103,84,101,75,276,261,222,207,107,123,118,132,211,280,253,348,207,35,92,106,79,35,57,168,56,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Falcaria-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Fallopia convolvulus-type,UPHE,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filipendula,UPHE,pollen,NISP,,4,2,,5,2,,4,1,1,,1,1,1,,,,5,,2,,2,2,1,5,1,1,1,1,,,,1,2,2,,1,1,1,2,3,3,2,1,1,,2,2,,,1,,,1,2,,1,2,6,,,1,3,1,,,,,,,1,3,3,4,12,8,3,6,6,6,,5,,11,2,5,2,2,1,1,,,,,,,,,,,,,,,,
Frangula alnus,TRSH,pollen,NISP,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,1,1,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus excelsior,TRSH,pollen,NISP,,46,38,23,12,12,13,12,4,2,,3,2,3,4,1,5,20,6,4,1,3,4,7,9,9,9,12,23,56,113,86,24,9,6,2,7,4,13,11,37,33,42,69,36,70,33,31,14,24,42,36,67,39,64,32,68,50,26,37,23,36,112,205,81,28,41,10,5,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Fraxinus ornus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galanthus-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gelasinospora,FUNG,spore,NISP,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,
Genista-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Gentiana pneumonanthe-type,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentiana-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Geum-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,1,,,,,,
Glomus,FUNG,spore,NISP,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,2,,,
Gnaphalium-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,
Gymnocarpium,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Gypsophila repens-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,2,3,,,,,
Hedera helix,TRSH,pollen,NISP,,,,,,,,,,1,1,1,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,2,,,1,3,2,1,2,2,2,1,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedwigia,UPBR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helianthemum,UPHE,pollen,NISP,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,1,,,2,1,1,,,1,,,2,4,1,2,3,20,21,20,15,23,26,23,26,40,28,19,18,10,11
Heracleum,UPHE,pollen,NISP,,,,2,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,,1,,,,,,2,,,,,,,,1,,,,,,,,,,
Herniaria-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Hippocrepis-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippophaë rhamnoides,TRSH,pollen,NISP,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,1,1,,1,,,,,1,,,,1,,3,8,15,,,,,,,,,,,,,,
Humulus lupulus,UPHE,pollen,NISP,,2,2,1,1,1,,,,,,1,,,,,,,,,,,,,1,,,,1,,1,1,3,,,1,2,,1,2,2,2,,1,1,,1,1,1,,1,,1,1,,1,4,,1,,1,1,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypericum perforatum-type,UPHE,pollen,NISP,,,,,,,2,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,1,,,,1,,,,,1,,,10,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasione,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,
Juglans,TRSH,pollen,NISP,,1,1,4,4,6,4,5,2,6,3,4,1,3,1,6,3,5,6,2,1,2,4,,1,,1,,,3,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juncaceae,UPHE,pollen,NISP,,,,1,2,2,,1,,1,2,,,,1,1,1,,2,1,,1,2,1,1,,,,,,,1,,2,1,,,1,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus,TRSH,pollen,NISP,,5,5,5,10,9,17,22,26,13,17,17,7,22,28,10,31,21,27,21,19,22,20,11,4,4,5,5,3,4,4,1,7,5,7,1,1,4,1,2,2,4,1,,1,,2,1,1,1,1,2,1,,,,,,1,,,,1,2,,,,,,,,1,1,6,29,26,20,32,26,35,8,14,11,12,2,6,10,40,50,95,167,391,25,33,16,13,20,20,12,18,12,8,4,2,2,2
Juniperus,TRSH,stomate,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Lamiaceae,UPHE,pollen,NISP,,,,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
Larix,TRSH,pollen,NISP,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laserpitium latifolium-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligusticum mutellina,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Ligustrum,TRSH,pollen,NISP,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liliaceae-type,UPHE,pollen,NISP,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
Linaria-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linum usitatissimum-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotus-type,UPHE,pollen,NISP,,,,,,,1,,1,2,1,2,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,
Lycopodium clavatum-type,VACR,spore,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopodium spike,LABO,counted,number,,195,228,191,122,121,80,124,104,111,91,661,643,757,727,446,241,192,149,630,203,267,607,701,448,398,218,493,456,367,247,216,277,528,539,588,180,504,134,476,113,378,246,212,187,117,232,189,235,212,134,130,134,91,104,31,149,96,112,50,70,57,65,77,59,63,55,66,39,50,72,36,14,51,352,370,300,322,249,452,141,276,98,226,64,85,44,86,126,101,148,128,394,417,256,680,622,506,588,533,734,758,974,211,150,329
Lycopodium tablets,LABO,concentration,grains/tablet,,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
Lycopodium tablets,LABO,quantity added,number,,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,18584,20848,20848,20848
Lysimachia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia vulgaris-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthiola-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Melampyrum,UPHE,pollen,NISP,,,,,,,,,,1,2,1,,,,,,,1,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentha-type,UPHE,pollen,NISP,,,,1,1,,,,,2,1,,1,,1,1,1,1,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,1,1,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,
Menyanthes trifoliata,AQVP,pollen,NISP,,,,,,1,,,,,,,,,,,,,,2,,,,,,1,,,1,,2,1,,,,,1,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercurialis annua,UPHE,pollen,NISP,,1,,3,4,3,2,2,3,2,2,2,1,1,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercurialis perennis-type,UPHE,pollen,NISP,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,1,1,,,,1,3,,1,,,1,1,,1,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morus alba-type,TRSH,pollen,NISP,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myriophyllum alterniflorum,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Myriophyllum spicatum,AQVP,pollen,NISP,,1,4,18,4,4,2,3,7,6,7,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuphar,AQVP,pollen,NISP,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nymphaea,AQVP,pollen,NISP,,1,1,,1,1,1,1,1,1,,,,1,2,,4,1,1,,,,,1,,1,1,,,,,,1,1,,1,2,4,2,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odontites-type,UPHE,pollen,NISP,,,,,,,,1,1,1,,,,2,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olea,TRSH,pollen,NISP,,4,,,,1,1,1,1,1,,1,,1,1,1,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onobrychis,UPHE,pollen,NISP,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,2,4,6,7,3,,,
Ononis-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ornithogalum-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostrya-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papaver rhoeas-type,UPHE,pollen,NISP,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parnassia palustris,UPHE,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Pediastrum,ALGA,colony,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,
Pediastrum angulosum,ALGA,colony,NISP,,,,1,1,9,2,,1,4,1,2,2,1,1,2,3,3,6,6,7,3,,1,5,1,,3,10,1,,2,1,2,1,,4,6,2,1,2,2,2,2,1,2,3,6,5,7,3,2,2,1,2,1,2,3,1,3,2,1,29,,,,,,,,,,,1,1,1,6,1,2,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,
Pediastrum duplex,ALGA,colony,NISP,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedicularis palustris-type,UPHE,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,,2,,,
Persicaria maculosa-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
