"name","group","element","units","context","S223285","S223286","S223287","S223288","S223289","S223290","S223291","S223292","S223293","S223294","S223295","S223296","S223297","S223298","S223299","S223300","S223301","S223302","S223303","S223304","S223305","S223306"
Scrophulariaceae,UPHE,pollen,NISP,,5,5,5,3,7,3,8,4,7,4,5,14,10,4,11,21,25,11,27,9,22,9
Secale,UPHE,pollen,NISP,,2,5,8,11,2,3,8,2,3,1,1,7,7,1,5,1,2,4,4,3,12,11
Sphagnum,AQBR,spore,NISP,,2,2,3,3,2,2,1,,2,,,5,1,3,1,2,3,,,,,
Stachys-type,UPHE,pollen,NISP,,,1,2,,4,3,5,1,2,,,,,,2,3,3,2,3,2,,
Taraxacum-type,UPHE,pollen,NISP,,7,25,155,5,11,21,15,5,7,3,11,17,7,15,9,8,12,17,21,23,35,42
Thalictrum,UPHE,pollen,NISP,,,2,,2,,,,,,,,,,,1,,1,,2,1,,
Tilia,TRSH,pollen,NISP,,2,1,,1,2,3,2,5,2,1,2,6,3,3,2,6,8,7,11,21,11,19
Typha latifolia,AQVP,pollen,NISP,,4,,,,,,1,,,,,,,,,,,,3,3,33,18
Typha/Sparganium-type,AQVP,pollen,NISP,,,,,,,1,5,2,,2,,,,,,,,,1,2,6,3
Ulmus,TRSH,pollen,NISP,,6,2,15,2,1,5,2,3,4,6,1,2,4,2,9,7,10,11,17,17,15,17
Urtica,UPHE,pollen,NISP,,3,6,11,4,3,5,8,1,2,3,2,3,,,2,3,2,7,4,2,2,
Vaccinium-type,TRSH,pollen,NISP,,10,12,2,5,1,4,5,3,3,4,2,3,2,3,2,1,3,2,3,2,,
Valerianoideae,UPHE,pollen,NISP,,1,,3,5,2,1,,1,,,,,2,,3,1,,,1,2,7,10
Varia,UNID,pollen/spore,NISP,,,2,5,8,4,7,7,5,4,3,5,5,3,4,3,5,7,5,4,3,7,3
Viburnum,TRSH,pollen,NISP,,1,2,1,,,1,3,,,1,,2,1,2,2,,1,3,13,5,1,3
Vitis,TRSH,pollen,NISP,,3,2,2,3,3,3,3,2,2,,,5,,1,2,,,,,,,
